group,id,course,semester,grade
1,3,Scavenging and Resource Management,2,7
1,3,Scavenging and Resource Management,2,7
1,3,Scavenging and Resource Management,2,8
1,3,Survival Skills and Wilderness Medicine,1,13.5
1,3,Survival Skills and Wilderness Medicine,1,13.5
1,3,Survival Skills and Wilderness Medicine,1,12.5
1,3,Survival Skills and Wilderness Medicine,1,14.5
1,8,Art and Expression in a Post-Apocalyptic World,1,14.2
1,8,Art and Expression in a Post-Apocalyptic World,1,9.5
1,8,Art and Expression in a Post-Apocalyptic World,1,6.3
1,8,Art and Expression in a Post-Apocalyptic World,1,11.2
1,8,Art and Expression in a Post-Apocalyptic World,1,10.9
1,8,Art and Expression in a Post-Apocalyptic World,1,10.2
1,8,Art and Expression in a Post-Apocalyptic World,1,10
1,8,Art and Expression in a Post-Apocalyptic World,1,9.3
1,8,Art and Expression in a Post-Apocalyptic World,1,9.8
1,8,Combat Tactics and Self-Defense,2,10
1,8,Combat Tactics and Self-Defense,2,20
1,8,Combat Tactics and Self-Defense,2,13
1,8,Combat Tactics and Self-Defense,2,15
1,8,Combat Tactics and Self-Defense,2,15
1,8,Combat Tactics and Self-Defense,2,10
1,8,Combat Tactics and Self-Defense,2,16
1,8,Community Building and Social Organization,1,7
1,8,Community Building and Social Organization,1,9
1,8,Community Building and Social Organization,1,10
1,8,Community Building and Social Organization,1,9
1,8,Mechanical Engineering and Vehicle Repair,1,9
1,8,Mechanical Engineering and Vehicle Repair,1,11
1,8,Mechanical Engineering and Vehicle Repair,1,10
1,8,Mechanical Engineering and Vehicle Repair,1,10
1,8,Mechanical Engineering and Vehicle Repair,1,10
1,8,Moral Philosophy and Ethical Decision-Making,2,9
1,8,Moral Philosophy and Ethical Decision-Making,2,6
1,8,Moral Philosophy and Ethical Decision-Making,2,10
1,8,Moral Philosophy and Ethical Decision-Making,2,10
1,8,Moral Philosophy and Ethical Decision-Making,2,10
1,8,Moral Philosophy and Ethical Decision-Making,2,10
1,8,Post-Apocalyptic History and Archaeology,1,9
1,8,Post-Apocalyptic History and Archaeology,1,9
1,8,Post-Apocalyptic History and Archaeology,1,5
1,8,Radiation Ecology and Environmental Science,2,15
1,8,Radiation Ecology and Environmental Science,2,6.5
1,8,Radiation Ecology and Environmental Science,2,10.5
1,8,Radiation Ecology and Environmental Science,2,10.5
1,8,Radiation Ecology and Environmental Science,2,14.5
1,8,Radiation Ecology and Environmental Science,2,8
1,8,Renewable Energy and Sustainable Living,2,10.5
1,8,Renewable Energy and Sustainable Living,2,16.1
1,8,Renewable Energy and Sustainable Living,2,12.2
1,8,Renewable Energy and Sustainable Living,2,16.5
1,8,Renewable Energy and Sustainable Living,2,12.5
1,8,Renewable Energy and Sustainable Living,2,18.1
1,8,Scavenging and Resource Management,2,7
1,8,Scavenging and Resource Management,2,6
1,8,Scavenging and Resource Management,2,7
1,8,Survival Skills and Wilderness Medicine,1,15
1,8,Survival Skills and Wilderness Medicine,1,13.5
1,8,Survival Skills and Wilderness Medicine,1,15
1,22,Art and Expression in a Post-Apocalyptic World,1,12.5
1,22,Art and Expression in a Post-Apocalyptic World,1,12.1
1,22,Art and Expression in a Post-Apocalyptic World,1,11.6
1,22,Art and Expression in a Post-Apocalyptic World,1,9.6
1,22,Art and Expression in a Post-Apocalyptic World,1,10.4
1,22,Art and Expression in a Post-Apocalyptic World,1,11.2
1,22,Art and Expression in a Post-Apocalyptic World,1,9.6
1,22,Art and Expression in a Post-Apocalyptic World,1,13.7
1,22,Art and Expression in a Post-Apocalyptic World,1,9.3
1,22,Combat Tactics and Self-Defense,2,17
1,22,Combat Tactics and Self-Defense,2,15
1,22,Combat Tactics and Self-Defense,2,16
1,22,Combat Tactics and Self-Defense,2,14
1,22,Combat Tactics and Self-Defense,2,15
1,22,Combat Tactics and Self-Defense,2,15
1,22,Combat Tactics and Self-Defense,2,14
1,22,Community Building and Social Organization,1,8
1,22,Community Building and Social Organization,1,9
1,22,Community Building and Social Organization,1,9
1,22,Community Building and Social Organization,1,8
1,22,Mechanical Engineering and Vehicle Repair,1,11
1,22,Mechanical Engineering and Vehicle Repair,1,12
1,22,Mechanical Engineering and Vehicle Repair,1,8
1,22,Mechanical Engineering and Vehicle Repair,1,8
1,22,Mechanical Engineering and Vehicle Repair,1,11
1,22,Moral Philosophy and Ethical Decision-Making,2,12
1,22,Moral Philosophy and Ethical Decision-Making,2,10
1,22,Moral Philosophy and Ethical Decision-Making,2,8
1,22,Moral Philosophy and Ethical Decision-Making,2,9
1,22,Moral Philosophy and Ethical Decision-Making,2,5
1,22,Moral Philosophy and Ethical Decision-Making,2,7
1,22,Post-Apocalyptic History and Archaeology,1,12
1,22,Post-Apocalyptic History and Archaeology,1,4.5
1,22,Post-Apocalyptic History and Archaeology,1,10.5
1,22,Radiation Ecology and Environmental Science,2,10
1,22,Radiation Ecology and Environmental Science,2,14
1,22,Radiation Ecology and Environmental Science,2,11
1,22,Radiation Ecology and Environmental Science,2,13.5
1,22,Radiation Ecology and Environmental Science,2,16.5
1,22,Radiation Ecology and Environmental Science,2,11.5
1,22,Renewable Energy and Sustainable Living,2,6.1
1,22,Renewable Energy and Sustainable Living,2,15.1
1,22,Renewable Energy and Sustainable Living,2,20
1,22,Renewable Energy and Sustainable Living,2,12.8
1,22,Renewable Energy and Sustainable Living,2,15.1
1,22,Renewable Energy and Sustainable Living,2,16.4
1,22,Scavenging and Resource Management,2,9
1,22,Scavenging and Resource Management,2,9
1,22,Scavenging and Resource Management,2,7
1,22,Scavenging and Resource Management,2,7
1,22,Survival Skills and Wilderness Medicine,1,14
1,22,Survival Skills and Wilderness Medicine,1,14
1,22,Survival Skills and Wilderness Medicine,1,13.5
1,22,Survival Skills and Wilderness Medicine,1,12.5
1,44,Art and Expression in a Post-Apocalyptic World,1,7.6
1,44,Art and Expression in a Post-Apocalyptic World,1,8.3
1,44,Art and Expression in a Post-Apocalyptic World,1,12.6
1,44,Art and Expression in a Post-Apocalyptic World,1,6.7
1,44,Art and Expression in a Post-Apocalyptic World,1,10
1,44,Art and Expression in a Post-Apocalyptic World,1,9.9
1,44,Art and Expression in a Post-Apocalyptic World,1,9.2
1,44,Art and Expression in a Post-Apocalyptic World,1,7.3
1,44,Art and Expression in a Post-Apocalyptic World,1,8.4
1,44,Combat Tactics and Self-Defense,2,18
1,44,Combat Tactics and Self-Defense,2,13
1,44,Combat Tactics and Self-Defense,2,13
1,44,Combat Tactics and Self-Defense,2,10
1,44,Combat Tactics and Self-Defense,2,12
1,44,Combat Tactics and Self-Defense,2,7
1,44,Combat Tactics and Self-Defense,2,11
1,44,Community Building and Social Organization,1,13
1,44,Community Building and Social Organization,1,10
1,44,Community Building and Social Organization,1,8
1,44,Mechanical Engineering and Vehicle Repair,1,10
1,44,Mechanical Engineering and Vehicle Repair,1,11
1,44,Mechanical Engineering and Vehicle Repair,1,9
1,44,Mechanical Engineering and Vehicle Repair,1,9
1,44,Moral Philosophy and Ethical Decision-Making,2,9
1,44,Moral Philosophy and Ethical Decision-Making,2,6
1,44,Moral Philosophy and Ethical Decision-Making,2,8
1,44,Moral Philosophy and Ethical Decision-Making,2,11
1,44,Moral Philosophy and Ethical Decision-Making,2,8
1,44,Moral Philosophy and Ethical Decision-Making,2,9
1,44,Post-Apocalyptic History and Archaeology,1,8.5
1,44,Post-Apocalyptic History and Archaeology,1,6
1,44,Post-Apocalyptic History and Archaeology,1,3.5
1,44,Radiation Ecology and Environmental Science,2,18.5
1,44,Radiation Ecology and Environmental Science,2,5
1,44,Radiation Ecology and Environmental Science,2,15
1,44,Radiation Ecology and Environmental Science,2,11
1,44,Radiation Ecology and Environmental Science,2,16
1,44,Radiation Ecology and Environmental Science,2,17
1,44,Renewable Energy and Sustainable Living,2,8.5
1,44,Renewable Energy and Sustainable Living,2,12.9
1,44,Renewable Energy and Sustainable Living,2,10.1
1,44,Renewable Energy and Sustainable Living,2,13.2
1,44,Renewable Energy and Sustainable Living,2,10
1,44,Renewable Energy and Sustainable Living,2,17.9
1,44,Renewable Energy and Sustainable Living,2,9.4
1,44,Scavenging and Resource Management,2,6
1,44,Scavenging and Resource Management,2,9
1,44,Scavenging and Resource Management,2,7
1,44,Scavenging and Resource Management,2,7
1,44,Survival Skills and Wilderness Medicine,1,14
1,44,Survival Skills and Wilderness Medicine,1,11
1,44,Survival Skills and Wilderness Medicine,1,11.5
1,44,Survival Skills and Wilderness Medicine,1,12
1,51,Art and Expression in a Post-Apocalyptic World,1,9.2
1,51,Art and Expression in a Post-Apocalyptic World,1,12.7
1,51,Art and Expression in a Post-Apocalyptic World,1,9.4
1,51,Art and Expression in a Post-Apocalyptic World,1,8.6
1,51,Art and Expression in a Post-Apocalyptic World,1,8.7
1,51,Art and Expression in a Post-Apocalyptic World,1,9.8
1,51,Art and Expression in a Post-Apocalyptic World,1,12
1,51,Art and Expression in a Post-Apocalyptic World,1,11.4
1,51,Art and Expression in a Post-Apocalyptic World,1,9.4
1,51,Combat Tactics and Self-Defense,2,13
1,51,Combat Tactics and Self-Defense,2,10
1,51,Combat Tactics and Self-Defense,2,13
1,51,Combat Tactics and Self-Defense,2,12
1,51,Combat Tactics and Self-Defense,2,16
1,51,Combat Tactics and Self-Defense,2,14
1,51,Combat Tactics and Self-Defense,2,19
1,51,Community Building and Social Organization,1,7
1,51,Community Building and Social Organization,1,8
1,51,Community Building and Social Organization,1,8
1,51,Community Building and Social Organization,1,9
1,51,Mechanical Engineering and Vehicle Repair,1,12
1,51,Mechanical Engineering and Vehicle Repair,1,10
1,51,Mechanical Engineering and Vehicle Repair,1,11
1,51,Mechanical Engineering and Vehicle Repair,1,11
1,51,Mechanical Engineering and Vehicle Repair,1,11
1,51,Moral Philosophy and Ethical Decision-Making,2,10
1,51,Moral Philosophy and Ethical Decision-Making,2,11
1,51,Moral Philosophy and Ethical Decision-Making,2,11
1,51,Moral Philosophy and Ethical Decision-Making,2,10
1,51,Moral Philosophy and Ethical Decision-Making,2,6
1,51,Moral Philosophy and Ethical Decision-Making,2,10
1,51,Post-Apocalyptic History and Archaeology,1,5.5
1,51,Post-Apocalyptic History and Archaeology,1,6.5
1,51,Post-Apocalyptic History and Archaeology,1,10.5
1,51,Radiation Ecology and Environmental Science,2,15.5
1,51,Radiation Ecology and Environmental Science,2,13
1,51,Radiation Ecology and Environmental Science,2,15.5
1,51,Radiation Ecology and Environmental Science,2,16
1,51,Radiation Ecology and Environmental Science,2,15
1,51,Radiation Ecology and Environmental Science,2,20
1,51,Renewable Energy and Sustainable Living,2,13.2
1,51,Renewable Energy and Sustainable Living,2,14.1
1,51,Renewable Energy and Sustainable Living,2,19.6
1,51,Renewable Energy and Sustainable Living,2,17.1
1,51,Renewable Energy and Sustainable Living,2,15.4
1,51,Renewable Energy and Sustainable Living,2,12.7
1,51,Renewable Energy and Sustainable Living,2,19
1,51,Scavenging and Resource Management,2,6
1,51,Scavenging and Resource Management,2,7
1,51,Scavenging and Resource Management,2,7
1,51,Scavenging and Resource Management,2,7
1,51,Survival Skills and Wilderness Medicine,1,13
1,51,Survival Skills and Wilderness Medicine,1,12.5
1,51,Survival Skills and Wilderness Medicine,1,12
1,51,Survival Skills and Wilderness Medicine,1,15
1,123,Art and Expression in a Post-Apocalyptic World,1,7.9
1,123,Art and Expression in a Post-Apocalyptic World,1,10.2
1,123,Art and Expression in a Post-Apocalyptic World,1,10.8
1,123,Art and Expression in a Post-Apocalyptic World,1,8.8
1,123,Art and Expression in a Post-Apocalyptic World,1,12.1
1,123,Art and Expression in a Post-Apocalyptic World,1,11.6
1,123,Art and Expression in a Post-Apocalyptic World,1,10.5
1,123,Art and Expression in a Post-Apocalyptic World,1,10
1,123,Art and Expression in a Post-Apocalyptic World,1,11.7
1,123,Combat Tactics and Self-Defense,2,13
1,123,Combat Tactics and Self-Defense,2,9
1,123,Combat Tactics and Self-Defense,2,16
1,123,Combat Tactics and Self-Defense,2,11
1,123,Combat Tactics and Self-Defense,2,18
1,123,Combat Tactics and Self-Defense,2,12
1,123,Combat Tactics and Self-Defense,2,14
1,123,Community Building and Social Organization,1,9
1,123,Community Building and Social Organization,1,7
1,123,Community Building and Social Organization,1,9
1,123,Community Building and Social Organization,1,10
1,123,Mechanical Engineering and Vehicle Repair,1,10
1,123,Mechanical Engineering and Vehicle Repair,1,10
1,123,Mechanical Engineering and Vehicle Repair,1,10
1,123,Mechanical Engineering and Vehicle Repair,1,10
1,123,Mechanical Engineering and Vehicle Repair,1,11
1,123,Moral Philosophy and Ethical Decision-Making,2,8
1,123,Moral Philosophy and Ethical Decision-Making,2,8
1,123,Moral Philosophy and Ethical Decision-Making,2,5
1,123,Moral Philosophy and Ethical Decision-Making,2,3
1,123,Moral Philosophy and Ethical Decision-Making,2,12
1,123,Post-Apocalyptic History and Archaeology,1,10
1,123,Post-Apocalyptic History and Archaeology,1,11
1,123,Post-Apocalyptic History and Archaeology,1,4.5
1,123,Radiation Ecology and Environmental Science,2,18.5
1,123,Radiation Ecology and Environmental Science,2,14
1,123,Radiation Ecology and Environmental Science,2,9
1,123,Radiation Ecology and Environmental Science,2,18.5
1,123,Radiation Ecology and Environmental Science,2,18
1,123,Radiation Ecology and Environmental Science,2,10.5
1,123,Renewable Energy and Sustainable Living,2,16.4
1,123,Renewable Energy and Sustainable Living,2,15.9
1,123,Renewable Energy and Sustainable Living,2,14.6
1,123,Renewable Energy and Sustainable Living,2,8.3
1,123,Renewable Energy and Sustainable Living,2,13.6
1,123,Renewable Energy and Sustainable Living,2,18.3
1,123,Renewable Energy and Sustainable Living,2,16.9
1,123,Scavenging and Resource Management,2,8
1,123,Scavenging and Resource Management,2,7
1,123,Scavenging and Resource Management,2,6
1,123,Scavenging and Resource Management,2,7
1,123,Survival Skills and Wilderness Medicine,1,14
1,123,Survival Skills and Wilderness Medicine,1,13.5
1,123,Survival Skills and Wilderness Medicine,1,13.5
1,123,Survival Skills and Wilderness Medicine,1,13
1,155,Art and Expression in a Post-Apocalyptic World,1,8.1
1,155,Art and Expression in a Post-Apocalyptic World,1,9.3
1,155,Art and Expression in a Post-Apocalyptic World,1,10.3
1,155,Art and Expression in a Post-Apocalyptic World,1,9.5
1,155,Art and Expression in a Post-Apocalyptic World,1,9.8
1,155,Art and Expression in a Post-Apocalyptic World,1,13.8
1,155,Art and Expression in a Post-Apocalyptic World,1,8.5
1,155,Art and Expression in a Post-Apocalyptic World,1,10.7
1,155,Art and Expression in a Post-Apocalyptic World,1,7.4
1,155,Combat Tactics and Self-Defense,2,18
1,155,Combat Tactics and Self-Defense,2,13
1,155,Combat Tactics and Self-Defense,2,11
1,155,Combat Tactics and Self-Defense,2,13
1,155,Combat Tactics and Self-Defense,2,13
1,155,Combat Tactics and Self-Defense,2,15
1,155,Combat Tactics and Self-Defense,2,13
1,155,Community Building and Social Organization,1,6
1,155,Community Building and Social Organization,1,6
1,155,Community Building and Social Organization,1,10
1,155,Community Building and Social Organization,1,8
1,155,Mechanical Engineering and Vehicle Repair,1,9
1,155,Mechanical Engineering and Vehicle Repair,1,10
1,155,Mechanical Engineering and Vehicle Repair,1,7
1,155,Mechanical Engineering and Vehicle Repair,1,10
1,155,Mechanical Engineering and Vehicle Repair,1,10
1,155,Moral Philosophy and Ethical Decision-Making,2,6
1,155,Moral Philosophy and Ethical Decision-Making,2,7
1,155,Moral Philosophy and Ethical Decision-Making,2,9
1,155,Moral Philosophy and Ethical Decision-Making,2,7
1,155,Moral Philosophy and Ethical Decision-Making,2,9
1,155,Moral Philosophy and Ethical Decision-Making,2,9
1,155,Post-Apocalyptic History and Archaeology,1,6.5
1,155,Post-Apocalyptic History and Archaeology,1,14
1,155,Post-Apocalyptic History and Archaeology,1,11
1,155,Radiation Ecology and Environmental Science,2,12.5
1,155,Radiation Ecology and Environmental Science,2,16
1,155,Radiation Ecology and Environmental Science,2,10.5
1,155,Radiation Ecology and Environmental Science,2,20
1,155,Radiation Ecology and Environmental Science,2,14.5
1,155,Radiation Ecology and Environmental Science,2,12
1,155,Renewable Energy and Sustainable Living,2,8.7
1,155,Renewable Energy and Sustainable Living,2,9.3
1,155,Renewable Energy and Sustainable Living,2,12.1
1,155,Renewable Energy and Sustainable Living,2,13.8
1,155,Renewable Energy and Sustainable Living,2,10.4
1,155,Renewable Energy and Sustainable Living,2,16.7
1,155,Renewable Energy and Sustainable Living,2,6.3
1,155,Scavenging and Resource Management,2,6
1,155,Scavenging and Resource Management,2,5
1,155,Scavenging and Resource Management,2,6
1,155,Scavenging and Resource Management,2,6
1,155,Survival Skills and Wilderness Medicine,1,13.5
1,155,Survival Skills and Wilderness Medicine,1,12
1,155,Survival Skills and Wilderness Medicine,1,15
1,155,Survival Skills and Wilderness Medicine,1,12
1,190,Art and Expression in a Post-Apocalyptic World,1,7.3
1,190,Art and Expression in a Post-Apocalyptic World,1,12.7
1,190,Art and Expression in a Post-Apocalyptic World,1,9.6
1,190,Art and Expression in a Post-Apocalyptic World,1,11.2
1,190,Art and Expression in a Post-Apocalyptic World,1,9
1,190,Art and Expression in a Post-Apocalyptic World,1,4.7
1,190,Art and Expression in a Post-Apocalyptic World,1,6.6
1,190,Art and Expression in a Post-Apocalyptic World,1,5.2
1,190,Art and Expression in a Post-Apocalyptic World,1,11
1,190,Combat Tactics and Self-Defense,2,10
1,190,Combat Tactics and Self-Defense,2,15
1,190,Combat Tactics and Self-Defense,2,10
1,190,Combat Tactics and Self-Defense,2,8
1,190,Combat Tactics and Self-Defense,2,11
1,190,Combat Tactics and Self-Defense,2,9
1,190,Community Building and Social Organization,1,8
1,190,Community Building and Social Organization,1,9
1,190,Community Building and Social Organization,1,8
1,190,Community Building and Social Organization,1,7
1,190,Mechanical Engineering and Vehicle Repair,1,11
1,190,Mechanical Engineering and Vehicle Repair,1,11
1,190,Mechanical Engineering and Vehicle Repair,1,9
1,190,Mechanical Engineering and Vehicle Repair,1,9
1,190,Mechanical Engineering and Vehicle Repair,1,10
1,190,Moral Philosophy and Ethical Decision-Making,2,8
1,190,Moral Philosophy and Ethical Decision-Making,2,7
1,190,Moral Philosophy and Ethical Decision-Making,2,8
1,190,Moral Philosophy and Ethical Decision-Making,2,11
1,190,Moral Philosophy and Ethical Decision-Making,2,13
1,190,Moral Philosophy and Ethical Decision-Making,2,8
1,190,Post-Apocalyptic History and Archaeology,1,8
1,190,Post-Apocalyptic History and Archaeology,1,3.5
1,190,Post-Apocalyptic History and Archaeology,1,7
1,190,Radiation Ecology and Environmental Science,2,10
1,190,Radiation Ecology and Environmental Science,2,11.5
1,190,Radiation Ecology and Environmental Science,2,12.5
1,190,Radiation Ecology and Environmental Science,2,14
1,190,Radiation Ecology and Environmental Science,2,16
1,190,Radiation Ecology and Environmental Science,2,16
1,190,Renewable Energy and Sustainable Living,2,11.4
1,190,Renewable Energy and Sustainable Living,2,15.3
1,190,Renewable Energy and Sustainable Living,2,12.5
1,190,Renewable Energy and Sustainable Living,2,13.8
1,190,Renewable Energy and Sustainable Living,2,13.2
1,190,Renewable Energy and Sustainable Living,2,12.4
1,190,Renewable Energy and Sustainable Living,2,13.5
1,190,Scavenging and Resource Management,2,7
1,190,Scavenging and Resource Management,2,7
1,190,Scavenging and Resource Management,2,8
1,190,Scavenging and Resource Management,2,7
1,190,Survival Skills and Wilderness Medicine,1,13
1,190,Survival Skills and Wilderness Medicine,1,14.5
1,190,Survival Skills and Wilderness Medicine,1,12.5
1,199,Art and Expression in a Post-Apocalyptic World,1,8.7
1,199,Art and Expression in a Post-Apocalyptic World,1,4.5
1,199,Art and Expression in a Post-Apocalyptic World,1,9.8
1,199,Art and Expression in a Post-Apocalyptic World,1,10.2
1,199,Art and Expression in a Post-Apocalyptic World,1,8
1,199,Art and Expression in a Post-Apocalyptic World,1,8.9
1,199,Art and Expression in a Post-Apocalyptic World,1,8.2
1,199,Art and Expression in a Post-Apocalyptic World,1,7.9
1,199,Art and Expression in a Post-Apocalyptic World,1,10
1,199,Combat Tactics and Self-Defense,2,10
1,199,Combat Tactics and Self-Defense,2,13
1,199,Combat Tactics and Self-Defense,2,11
1,199,Combat Tactics and Self-Defense,2,9
1,199,Combat Tactics and Self-Defense,2,16
1,199,Combat Tactics and Self-Defense,2,10
1,199,Community Building and Social Organization,1,7
1,199,Community Building and Social Organization,1,10
1,199,Community Building and Social Organization,1,7
1,199,Community Building and Social Organization,1,9
1,199,Mechanical Engineering and Vehicle Repair,1,10
1,199,Mechanical Engineering and Vehicle Repair,1,10
1,199,Mechanical Engineering and Vehicle Repair,1,9
1,199,Mechanical Engineering and Vehicle Repair,1,9
1,199,Mechanical Engineering and Vehicle Repair,1,10
1,199,Moral Philosophy and Ethical Decision-Making,2,10
1,199,Moral Philosophy and Ethical Decision-Making,2,4
1,199,Moral Philosophy and Ethical Decision-Making,2,5
1,199,Moral Philosophy and Ethical Decision-Making,2,10
1,199,Moral Philosophy and Ethical Decision-Making,2,7
1,199,Post-Apocalyptic History and Archaeology,1,13
1,199,Post-Apocalyptic History and Archaeology,1,8.5
1,199,Post-Apocalyptic History and Archaeology,1,11
1,199,Radiation Ecology and Environmental Science,2,12.5
1,199,Radiation Ecology and Environmental Science,2,13
1,199,Radiation Ecology and Environmental Science,2,12.5
1,199,Radiation Ecology and Environmental Science,2,13.5
1,199,Radiation Ecology and Environmental Science,2,7
1,199,Radiation Ecology and Environmental Science,2,16
1,199,Renewable Energy and Sustainable Living,2,15.8
1,199,Renewable Energy and Sustainable Living,2,14.1
1,199,Renewable Energy and Sustainable Living,2,15.1
1,199,Renewable Energy and Sustainable Living,2,11.1
1,199,Renewable Energy and Sustainable Living,2,10
1,199,Renewable Energy and Sustainable Living,2,15.6
1,199,Scavenging and Resource Management,2,8
1,199,Scavenging and Resource Management,2,8
1,199,Scavenging and Resource Management,2,9
1,199,Scavenging and Resource Management,2,7
1,199,Survival Skills and Wilderness Medicine,1,13.5
1,199,Survival Skills and Wilderness Medicine,1,12.5
1,199,Survival Skills and Wilderness Medicine,1,12
1,199,Survival Skills and Wilderness Medicine,1,11
1,200,Art and Expression in a Post-Apocalyptic World,1,6.3
1,200,Art and Expression in a Post-Apocalyptic World,1,10.9
1,200,Art and Expression in a Post-Apocalyptic World,1,7.5
1,200,Art and Expression in a Post-Apocalyptic World,1,10
1,200,Art and Expression in a Post-Apocalyptic World,1,7.2
1,200,Art and Expression in a Post-Apocalyptic World,1,10.8
1,200,Art and Expression in a Post-Apocalyptic World,1,10.8
1,200,Art and Expression in a Post-Apocalyptic World,1,10.3
1,200,Art and Expression in a Post-Apocalyptic World,1,11.2
1,200,Combat Tactics and Self-Defense,2,16
1,200,Combat Tactics and Self-Defense,2,11
1,200,Combat Tactics and Self-Defense,2,14
1,200,Combat Tactics and Self-Defense,2,13
1,200,Combat Tactics and Self-Defense,2,10
1,200,Combat Tactics and Self-Defense,2,16
1,200,Combat Tactics and Self-Defense,2,9
1,200,Community Building and Social Organization,1,9
1,200,Community Building and Social Organization,1,12
1,200,Community Building and Social Organization,1,9
1,200,Community Building and Social Organization,1,10
1,200,Mechanical Engineering and Vehicle Repair,1,11
1,200,Mechanical Engineering and Vehicle Repair,1,10
1,200,Mechanical Engineering and Vehicle Repair,1,9
1,200,Mechanical Engineering and Vehicle Repair,1,10
1,200,Mechanical Engineering and Vehicle Repair,1,9
1,200,Moral Philosophy and Ethical Decision-Making,2,10
1,200,Moral Philosophy and Ethical Decision-Making,2,7
1,200,Moral Philosophy and Ethical Decision-Making,2,9
1,200,Moral Philosophy and Ethical Decision-Making,2,9
1,200,Moral Philosophy and Ethical Decision-Making,2,4
1,200,Moral Philosophy and Ethical Decision-Making,2,11
1,200,Post-Apocalyptic History and Archaeology,1,6.5
1,200,Post-Apocalyptic History and Archaeology,1,9
1,200,Radiation Ecology and Environmental Science,2,14.5
1,200,Radiation Ecology and Environmental Science,2,18
1,200,Radiation Ecology and Environmental Science,2,13
1,200,Radiation Ecology and Environmental Science,2,14
1,200,Radiation Ecology and Environmental Science,2,16.5
1,200,Radiation Ecology and Environmental Science,2,11
1,200,Renewable Energy and Sustainable Living,2,13.2
1,200,Renewable Energy and Sustainable Living,2,15.7
1,200,Renewable Energy and Sustainable Living,2,13.1
1,200,Renewable Energy and Sustainable Living,2,11.4
1,200,Renewable Energy and Sustainable Living,2,17.4
1,200,Renewable Energy and Sustainable Living,2,11.3
1,200,Renewable Energy and Sustainable Living,2,13.7
1,200,Scavenging and Resource Management,2,8
1,200,Scavenging and Resource Management,2,8
1,200,Scavenging and Resource Management,2,8
1,200,Scavenging and Resource Management,2,8
1,200,Survival Skills and Wilderness Medicine,1,12.5
1,200,Survival Skills and Wilderness Medicine,1,12
1,200,Survival Skills and Wilderness Medicine,1,13.5
1,200,Survival Skills and Wilderness Medicine,1,13
1,229,Art and Expression in a Post-Apocalyptic World,1,9.2
1,229,Art and Expression in a Post-Apocalyptic World,1,11.8
1,229,Art and Expression in a Post-Apocalyptic World,1,7.5
1,229,Art and Expression in a Post-Apocalyptic World,1,9.2
1,229,Art and Expression in a Post-Apocalyptic World,1,6.5
1,229,Art and Expression in a Post-Apocalyptic World,1,10
1,229,Art and Expression in a Post-Apocalyptic World,1,9
1,229,Art and Expression in a Post-Apocalyptic World,1,5.3
1,229,Combat Tactics and Self-Defense,2,12
1,229,Combat Tactics and Self-Defense,2,11
